time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
106.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
106.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
107.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
107.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
107.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
107.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
107.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
108.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
108.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
108.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
108.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
108.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
109.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
109.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
109.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
109.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
109.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
110.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
110.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
110.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
110.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
110.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
111.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
111.368417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
111.568417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
111.768417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
111.968417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
112.168417;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
112.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
112.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
112.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
112.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
113.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
113.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
113.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
113.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
113.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
114.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
114.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
114.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
114.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
114.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
115.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
115.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
115.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
115.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
115.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
116.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
116.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
116.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
116.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
116.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
117.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
117.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
117.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
117.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
117.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
118.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
118.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
118.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
118.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
118.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
119.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
119.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
119.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
119.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
119.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
120.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
120.3684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
120.5684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
120.7684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
120.9684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
121.1684169;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
121.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
121.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
121.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
121.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
122.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
122.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
122.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
122.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
122.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
123.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
123.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
123.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
123.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
123.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
124.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
124.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
124.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
124.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
124.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
125.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
125.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
125.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
125.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
125.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
126.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
126.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
126.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
126.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
126.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
127.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
127.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
127.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
127.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
127.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
128.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
128.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
128.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
