time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
23.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
24;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
24.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
24.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
24.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
24.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
25;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
25.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
25.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
25.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
25.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
26;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
26.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
26.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
26.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
26.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
27;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
27.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
27.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
27.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
27.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
28;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
